"Inventar-Nr","Status","Hersteller","Modell","Kurzbezeichnung","Objekttyp","Farbe","Seriennummer","Kaufdatum","Einkaufspreis","Gerätefoto","Standort","Bereich","Unterkategorie","Zuständige Person","Vorbesitzer","Zustandshinweis"
"0005","Ausgemustert","Sennheiser","SKM","Mikrofon","Mikrofon","Schwarz","1123254738",,,"IMG_2956.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0006","Ausgemustert","Sennheiser","SKM","Mikrofon","Mikrofon","Schwarz","1123254737",,,"IMG_2957.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0013","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1121166772",,,"IMG_2964.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0014","Ausgemustert","Sennheiser","SK ","IEM Bodypack","IEM System Drahtlos","Schwarz","1133314866",,,"IMG_2966.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0016","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1161174346",,,"IMG_2968.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0017","Ausgemustert","Sennheiser","SK","IEM Bodypack","IEM System Drahtlos","Schwarz","1156362345",,,"IMG_2969.JPG","Gemindesaal","[""Medientechnik""]","[""Audio""]",,,
"0022","Ausgemustert","Sony","PXW-FS5","Kamera","Videokamera","Schwarz","1600060",,,"IMG_2979.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0027","Ausgemustert","Sony","PXW-FS5","Kamera","Videokamera","Schwarz","1602080",,,"IMG_2985.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0032","Ausgemustert","Sony"," SELP18105G","Objektiv","Objektiv","Schwarz","2122795",,,"IMG_2989.JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0044","Ausgemustert","Metabones","Ultra 0.71x - Speedbooster","Lavaliermikrofon","Objektiv","Schwarz","21A023481020",,,"IMG_3003[1].JPG","Studio","[""Medientechnik""]","[""Video""]",,,
"0050","Ausgemustert","Metabones","Ultra 0.71x - Speedbooster","Wireless Display Adapter","Objektiv","Schwarz","21A028511017",,,"IMG_3037[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
"0063","Ausgemustert","Netgear","GS108PEv3","Switch","Netzwerk-Switch","Space grau","3UJ8965902D01",,,"IMG_3050[1].JPG","Lagerraum","[""Medientechnik""]","[""Video""]",,,
